['Evroopt', 55.1092859, 82.9486227, 1, 1, [0, 0, 1]],
['Evroopt', 53.9116372, 27.4349498, 38, 3, [1, 1, 1]],
['Evroopt', 53.927566, 27.4330117, 39, 1, [1, 0, 0]],
['Evroopt', 53.8716566, 27.5726262, 44, 1, [0, 1, 0]],
['Evroopt', 53.9280835, 27.3198283, 45, 2, [1, 0, 1]],
['Evroopt', 53.8761318, 27.9038583, 46, 1, [0, 0, 1]],
['Evroopt', 53.2131507, 26.7043146, 47, 2, [0, 1, 1]],
['Evroopt', 54.3075671, 26.8378514334913, 48, 1, [1, 0, 0]],
['Evroopt', 53.9044583, 27.6132738325458, 50, 2, [1, 1, 0]],
['Evroopt', 53.9160544, 27.4582323781105, 51, 2, [1, 0, 1]],
['Evroopt', 53.930782, 27.5429301840355, 52, 1, [0, 1, 0]],
['Evroopt', 53.896465, 27.4222143373476, 54, 2, [1, 0, 1]],
['Evroopt', 53.9176501, 27.4494327, 56, 2, [1, 0, 1]],
['Evroopt', 53.84564605, 27.45569195, 57, 0, [0, 0, 0]],
['Evroopt', 53.867604, 27.6719960674354, 59, 2, [0, 1, 1]],
['Evroopt', 53.9204502, 27.4930088, 62, 2, [1, 0, 1]],
['Evroopt', 53.2131507, 26.7043146, 63, 1, [0, 0, 1]],
['Evroopt', 53.9425119, 27.6985015172168, 64, 3, [1, 1, 1]],
['Evroopt', 53.1446049, 26.042927861079, 2, 1, [0, 1, 0]],
['Evroopt', 53.1104694, 25.9925244, 3, 1, [1, 0, 0]],
['Evroopt', 53.12218795, 25.9521183, 4, 0, [0, 0, 0]],
['Evroopt', 53.1352137, 26.0736416, 5, 1, [1, 0, 0]],
['Evroopt', 53.1634586, 26.0250472, 7, 2, [1, 1, 0]],
['Evroopt', 53.1381379, 25.9772032, 8, 2, [1, 1, 0]],
['Evroopt', 53.12405835, 25.98968295, 10, 2, [1, 1, 0]],
['Evroopt', 53.1150465, 26.0219385658491, 11, 2, [1, 1, 0]],
['Evroopt', 54.4846219, 30.3201748105197, 1, 1, [0, 1, 0]],
['Evroopt', 52.5273625, 24.9692083934405, 1, 1, [0, 1, 0]],
['Evroopt', 52.52720065, 24.98379445, 3, 1, [0, 0, 1]],
['Evroopt', 52.5270805, 24.9807507, 4, 2, [1, 0, 1]],
['Evroopt', 54.7253511, 28.0585861, 1, 1, [1, 0, 0]],
['Evroopt', 53.5259807, 28.1681623, 1, 3, [1, 1, 1]],
['Evroopt', 53.16542765, 29.2070981682129, 1, 2, [1, 0, 1]],
['Evroopt', 53.1398796, 29.2274885, 2, 2, [0, 1, 1]],
['Evroopt', 53.1567528, 29.1898667, 4, 1, [0, 0, 1]],
['Evroopt', 53.1203208, 29.2300856, 6, 2, [1, 0, 1]],
['Evroopt', 53.1693507, 29.198510216266, 8, 1, [1, 0, 0]],
['Evroopt', 53.1653452, 29.1763144, 9, 1, [0, 1, 0]],
['Evroopt', 53.1911893, 29.2255442778356, 10, 1, [0, 1, 0]],
['Evroopt', 53.1783066, 29.1973124, 11, 3, [1, 1, 1]],
['Evroopt', 53.1402834, 29.1649671, 12, 2, [1, 1, 0]],
['Evroopt', 53.1992402, 29.2216437566924, 13, 2, [1, 0, 1]],
['Evroopt', 53.1715143, 29.1908552, 14, 1, [0, 0, 1]],
['Evroopt', 54.8437078, 30.2122157, 1, 2, [1, 0, 1]],
['Evroopt', 54.179675, 28.4728276, 3, 3, [1, 1, 1]],
['Evroopt', 54.213518, 28.4766514741298, 4, 1, [0, 0, 1]],
['Evroopt', 54.2436912, 28.5487415, 6, 3, [1, 1, 1]],
['Evroopt', 52.0755816, 23.7179694, 1, 1, [1, 0, 0]],
['Evroopt', 52.09799, 23.6857099, 2, 0, [0, 0, 0]],
['Evroopt', 52.123896, 23.7167767, 3, 2, [1, 0, 1]],
['Evroopt', 52.0554634, 23.7385039, 4, 2, [1, 0, 1]],
['Evroopt', 52.1085372, 23.7255351, 6, 2, [1, 0, 1]],
['Evroopt', 52.0991141, 23.788395, 7, 2, [0, 1, 1]],
['Evroopt', 52.0691337, 23.7635357978288, 10, 1, [0, 1, 0]],
['Evroopt', 52.1099745, 23.6673577, 12, 1, [0, 0, 1]],
['Evroopt', 52.0479805, 23.738083, 13, 2, [1, 1, 0]],
['Evroopt', 52.1010019, 23.6553713, 15, 1, [0, 1, 0]],
['Evroopt', 52.0902879, 23.7158212, 17, 1, [0, 0, 1]],
['Evroopt', 55.64248595, 27.0432503469959, 1, 2, [0, 1, 1]],
['Evroopt', 55.6476399, 27.0360749, 2, 1, [0, 1, 0]],
['Evroopt', 52.5685441, 31.1686494100457, 1, 1, [0, 1, 0]],
['Evroopt', 54.4839747, 26.8967087315676, 1, 1, [1, 0, 0]],
['Evroopt', 54.49986135, 26.9183705323027, 2, 1, [0, 1, 0]],
['Evroopt', 55.18649235, 30.2268925895678, 1, 2, [1, 0, 1]],
['Evroopt', 55.1704255, 30.1272572, 2, 2, [1, 1, 0]],
['Evroopt', 55.1910536, 30.205327, 3, 0, [0, 0, 0]],
['Evroopt', 55.16710485, 30.2498410657708, 4, 2, [1, 1, 0]],
['Evroopt', 55.19836885, 30.1766189243198, 6, 2, [1, 0, 1]],
['Evroopt', 55.1588938, 30.2121282, 7, 2, [1, 1, 0]],
['Evroopt', 55.2287569, 30.2623133, 8, 0, [0, 0, 0]],
['Evroopt', 55.216889, 30.2369062, 10, 2, [1, 1, 0]],
['Evroopt', 55.1958152, 30.2434325, 11, 1, [1, 0, 0]],
['Evroopt', 55.2036068, 30.2687102274605, 13, 2, [1, 0, 1]],
['Evroopt', 55.18072765, 30.1909742033279, 16, 1, [0, 0, 1]],
['Evroopt', 53.1629031, 24.4574958, 1, 0, [0, 0, 0]],
['Evroopt', 53.1608775, 24.45255, 2, 0, [0, 0, 0]],
['Evroopt', 53.1687925, 24.4323834, 3, 1, [0, 0, 1]],
['Evroopt', 53.1639746, 24.4432835, 4, 1, [0, 1, 0]],
['Evroopt', 54.0946819, 26.5133124, 1, 1, [0, 0, 1]],
['Evroopt', 56.0055847, 83.808562, 1, 1, [0, 0, 1]],
['Evroopt', 55.38242505, 39.0349388, 1, 2, [0, 1, 1]],
['Evroopt', 52.7702074, 26.4290116, 1, 2, [0, 1, 1]],
['Evroopt', 55.1384402, 27.6850447, 1, 1, [1, 0, 0]],
['Evroopt', 52.895071, 28.6803237, 1, 2, [1, 1, 0]],
['Evroopt', 54.2599864, 26.016492, 1, 2, [1, 0, 1]],
['Evroopt', 52.4281332, 30.9460259517786, 1, 2, [1, 0, 1]],
['Evroopt', 52.4456234, 31.0163397, 2, 2, [0, 1, 1]],
['Evroopt', 52.4126726, 30.9704918, 3, 2, [1, 1, 0]],
['Evroopt', 52.3988057, 30.91065, 5, 3, [1, 1, 1]],
['Evroopt', 52.40714915, 30.9815828437867, 8, 3, [1, 1, 1]],
['Evroopt', 52.474968, 31.0299369792453, 9, 1, [0, 1, 0]],
['Evroopt', 52.4681403, 31.0394679648811, 10, 0, [0, 0, 0]],
['Evroopt', 52.4629531, 31.0398885445587, 11, 1, [1, 0, 0]],
['Evroopt', 52.4463238, 30.947490900736, 12, 1, [0, 1, 0]],
['Evroopt', 52.46214005, 30.9657715120242, 13, 3, [1, 1, 1]],
['Evroopt', 52.37819415, 31.026887, 14, 1, [0, 1, 0]],
['Evroopt', 52.4062708, 30.9824226, 17, 1, [0, 0, 1]],
['Evroopt', 52.4644162, 30.9710236, 18, 0, [0, 0, 0]],
['Evroopt', 52.4716435, 31.0325253, 19, 2, [1, 0, 1]],
['Evroopt', 52.4339084, 31.0088937, 20, 2, [1, 1, 0]],
['Evroopt', 52.4205346, 30.9442293, 21, 0, [0, 0, 0]],
['Evroopt', 52.37819415, 31.026887, 22, 2, [1, 1, 0]],
['Evroopt', 52.4299076, 31.0066642, 23, 0, [0, 0, 0]],
['Evroopt', 52.46504995, 30.9695968, 25, 2, [0, 1, 1]],
['Evroopt', 52.4487647, 31.0209166, 26, 2, [1, 0, 1]],
['Evroopt', 52.45395285, 30.9788180220331, 27, 1, [1, 0, 0]],
['Evroopt', 54.28842355, 30.9843773033447, 1, 1, [1, 0, 0]],
['Evroopt', 54.29841765, 30.9752878964902, 2, 3, [1, 1, 1]],
['Evroopt', 54.2888025, 30.9825832, 3, 1, [0, 1, 0]],
['Evroopt', 55.46736835, 30.0033825220142, 1, 1, [1, 0, 0]],
['Evroopt', 53.7017137, 23.8355907, 1, 1, [1, 0, 0]],
['Evroopt', 53.6886618, 23.8453375, 2, 2, [1, 0, 1]],
['Evroopt', 53.6589206, 23.8436937128798, 3, 0, [0, 0, 0]],
['Evroopt', 53.7083993, 23.8478868, 4, 1, [1, 0, 0]],
['Evroopt', 53.600832, 23.7005202, 5, 2, [1, 0, 1]],
['Evroopt', 53.6589206, 23.8436937128798, 6, 2, [0, 1, 1]],
['Evroopt', 53.4556879, 23.8781689, 7, 1, [0, 0, 1]],
['Evroopt', 53.707759, 23.8106, 9, 2, [1, 0, 1]],
['Evroopt', 53.6932169, 23.832084, 10, 1, [1, 0, 0]],
['Evroopt', 53.6547095, 23.7834170435583, 13, 2, [0, 1, 1]],
['Evroopt', 53.6866099, 23.8289258, 14, 1, [0, 0, 1]],
['Evroopt', 53.6704944, 23.7964915681535, 15, 2, [0, 1, 1]],
['Evroopt', 53.4556879, 23.8781689, 17, 3, [1, 1, 1]],
['Evroopt', 53.6561065, 23.8023335, 18, 2, [0, 1, 1]],
['Evroopt', 53.4962147, 24.06985035, 19, 2, [1, 0, 1]],
['Evroopt', 53.6506049, 23.8326541, 20, 1, [0, 0, 1]],
['Evroopt', 53.622306, 23.8156156760615, 21, 1, [1, 0, 0]],
['Evroopt', 53.7054421, 23.797435, 22, 1, [1, 0, 0]],
['Evroopt', 53.6363543, 23.8516171250947, 23, 1, [0, 0, 1]],
['Evroopt', 53.6597231, 23.7820795, 24, 1, [1, 0, 0]],
['Evroopt', 53.159061, 30.46097, 1, 0, [0, 0, 0]],
['Evroopt', 54.8890944, 27.771194751821, 1, 3, [1, 1, 1]],
['Evroopt', 53.62015675, 27.8947147517009, 1, 2, [1, 0, 1]],
['Evroopt', 54.5824534, 30.6950731, 1, 3, [1, 1, 1]],
['Evroopt', 51.8121054, 29.1682578, 1, 1, [0, 0, 1]],
['Evroopt', 52.19678265, 24.0176025628158, 1, 1, [0, 0, 1]],
['Evroopt', 52.2050401, 27.8643906, 1, 2, [1, 0, 1]],
['Evroopt', 52.2086993, 27.85155615, 2, 2, [1, 1, 0]],
['Evroopt', 52.9050133, 30.0320456, 1, 1, [0, 1, 0]],
['Evroopt', 52.9005041, 30.0555661, 2, 3, [1, 1, 1]],
['Evroopt', 52.88204635, 30.03674975, 3, 2, [1, 0, 1]],
['Evroopt', 54.1092952, 28.3610214, 2, 1, [0, 0, 1]],
['Evroopt', 54.1031077, 28.3182384896914, 3, 2, [1, 0, 1]],
['Evroopt', 54.0960175, 28.3048322, 4, 1, [0, 0, 1]],
['Evroopt', 54.0972344, 28.2890008, 5, 1, [1, 0, 0]],
['Evroopt', 56.9925146, 32.6237297, 1, 3, [1, 1, 1]],
['Evroopt', 53.1584553, 24.8142853, 1, 3, [1, 1, 1]],
['Evroopt', 52.147064, 25.534043, 1, 1, [0, 1, 0]],
['Evroopt', 57.0163099, 40.9778652, 2, 1, [0, 0, 1]],
['Evroopt', 57.201354, 41.9115257, 3, 2, [0, 1, 1]],
['Evroopt', 52.1241589, 29.3345652, 1, 0, [0, 0, 0]],
['Evroopt', 52.1236967, 29.3214857713404, 2, 1, [0, 1, 0]],
['Evroopt', 52.1344223, 29.3430625, 3, 1, [0, 0, 1]],
['Evroopt', 52.12112505, 29.3488942927618, 5, 1, [0, 1, 0]],
['Evroopt', 52.1275292, 29.3178816, 6, 2, [1, 0, 1]],
['Evroopt', 53.0600527, 26.6517795, 1, 1, [0, 1, 0]],
['Evroopt', 53.5984983, 31.9610137, 1, 1, [0, 0, 1]],
['Evroopt', 53.5948912, 31.9501489, 2, 2, [1, 1, 0]],
['Evroopt', 53.6147285, 31.9512913, 3, 3, [1, 1, 1]],
['Evroopt', 52.1930836, 24.3558097, 1, 1, [0, 1, 0]],
['Evroopt', 52.210247, 24.3472725, 3, 3, [1, 1, 1]],
['Evroopt', 52.213564, 24.3575773, 4, 1, [0, 0, 1]],
['Evroopt', 52.2074269, 24.3790421, 5, 1, [0, 1, 0]],
['Evroopt', 52.2105759, 24.3278778, 6, 2, [1, 1, 0]],
['Evroopt', 52.210247, 24.3472725, 7, 1, [0, 1, 0]],
['Evroopt', 52.1948348, 24.3465761, 8, 1, [0, 1, 0]],
['Evroopt', 53.1515723, 27.0883586, 1, 0, [0, 0, 0]],
['Evroopt', 53.5738505, 26.1462612, 1, 2, [0, 1, 1]],
['Evroopt', 53.3482007, 32.0487094, 1, 2, [1, 1, 0]],
['Evroopt', 50.6249222, 41.2908202, 1, 2, [0, 1, 1]],
['Evroopt', 59.82968025, 30.0908481420747, 1, 2, [1, 0, 1]],
['Evroopt', 54.2462502, 29.7935513, 1, 2, [0, 1, 1]],
['Evroopt', 54.25514615, 29.79318805, 2, 1, [0, 1, 0]],
['Evroopt', 53.6970196, 31.6984944, 1, 3, [1, 1, 1]],
['Evroopt', 53.7450565, 31.7163453, 2, 2, [1, 1, 0]],
['Evroopt', 53.7429838, 31.688314, 3, 2, [1, 1, 0]],
['Evroopt', 51.7909321, 28.3315354, 1, 2, [0, 1, 1]],
['Evroopt', 53.8914415, 25.2561845, 1, 1, [0, 0, 1]],
['Evroopt', 53.9000924, 25.2558907, 3, 3, [1, 1, 1]],
['Evroopt', 53.87029245, 25.2846764891416, 4, 3, [1, 1, 1]],
['Evroopt', 53.8879848, 25.2963454, 5, 1, [1, 0, 0]],
['Evroopt', 55.02635445, 30.793460326447, 1, 2, [1, 1, 0]],
['Evroopt', 54.2811529, 28.7678445, 1, 1, [0, 1, 0]],
['Evroopt', 53.0367958, 26.2724124, 1, 1, [0, 1, 0]],
['Evroopt', 53.5014468, 28.1724699, 3, 2, [1, 1, 0]],
['Evroopt', 55.6300267, 27.6416159, 1, 3, [1, 1, 1]],
['Evroopt', 48.8328678, 34.4880714, 12, 3, [1, 1, 1]],
['Evroopt', 48.8605192, 34.4787083, 23, 2, [1, 1, 0]],
['Evroopt', 53.9131474, 30.3182987, 30, 2, [1, 1, 0]],
['Evroopt', 52.0353937, 29.2015216902886, 1, 2, [1, 0, 1]],
['Evroopt', 52.04580155, 29.2518673883377, 2, 2, [0, 1, 1]],
['Evroopt', 52.0300032, 29.2482305772432, 5, 1, [0, 0, 1]],
['Evroopt', 52.0574828, 29.2237658, 6, 0, [0, 0, 0]],
['Evroopt', 52.04547415, 29.2387810299228, 7, 2, [0, 1, 1]],
['Evroopt', 52.0290663, 29.227439792078, 8, 3, [1, 1, 1]],
['Evroopt', 52.0652997, 29.2037266, 9, 1, [0, 1, 0]],
['Evroopt', 52.05879665, 29.2402934210984, 10, 0, [0, 0, 0]],
['Evroopt', 54.29780625, 26.8522238988576, 1, 1, [0, 1, 0]],
['Evroopt', 54.31047675, 26.8360149482026, 3, 2, [1, 1, 0]],
['Evroopt', 54.3054483, 26.826999, 4, 0, [0, 0, 0]],
['Evroopt', 54.3047652, 26.842339, 5, 2, [1, 1, 0]],
['Evroopt', 54.30056755, 26.8290312569264, 6, 1, [0, 0, 1]],
['Evroopt', 54.29658735, 26.8532788488294, 8, 1, [0, 0, 1]],
['Evroopt', 54.3066945, 26.8318804, 9, 3, [1, 1, 1]],
['Evroopt', 54.31005245, 26.8268398997675, 11, 0, [0, 0, 0]],
['Evroopt', 54.3194104, 26.8725782223309, 12, 1, [0, 1, 0]],
['Evroopt', 54.32611995, 26.8594270555424, 13, 1, [0, 1, 0]],
['Evroopt', 54.0140081, 31.7098315, 1, 2, [0, 1, 1]],
['Evroopt', 54.8701578, 26.9339615, 1, 2, [1, 1, 0]],
['Evroopt', 54.910237, 26.707808, 1, 1, [0, 0, 1]],
['Evroopt', 51.7866444, 29.509174, 1, 1, [0, 1, 0]],
['Evroopt', 53.2215698, 26.6736683, 1, 2, [1, 0, 1]],
['Evroopt', 53.59463295, 25.8246353443705, 1, 0, [0, 0, 0]],
['Evroopt', 55.53448635, 28.6362900383886, 1, 1, [0, 1, 0]],
['Evroopt', 55.5246321, 28.667092, 3, 1, [0, 0, 1]],
['Evroopt', 55.5131486, 28.6823995, 4, 1, [0, 0, 1]],
['Evroopt', 55.52552915, 28.6656031165448, 5, 0, [0, 0, 0]],
['Evroopt', 55.54017815, 28.624937903695, 6, 0, [0, 0, 0]],
['Evroopt', 54.5027593, 30.4122993, 2, 2, [0, 1, 1]],
['Evroopt', 54.49769805, 30.410814570553, 3, 3, [1, 1, 1]],
['Evroopt', 54.5118155, 30.4048446, 4, 1, [0, 0, 1]],
['Evroopt', 54.51434595, 30.3856844306118, 5, 2, [1, 1, 0]],
['Evroopt', 53.3180591, 28.644650098258, 1, 2, [1, 1, 0]],
['Evroopt', 53.3228173, 28.6426223, 3, 0, [0, 0, 0]],
['Evroopt', 53.3012886, 28.6444492, 4, 3, [1, 1, 1]],
['Evroopt', 54.4278364, 25.9433349, 2, 1, [1, 0, 0]],
['Evroopt', 52.1246357, 26.1134258, 1, 2, [1, 1, 0]],
['Evroopt', 52.13780275, 26.107938730802, 2, 2, [0, 1, 1]],
['Evroopt', 55.49767775, 28.7480999822521, 2, 0, [0, 0, 0]],
['Evroopt', 55.4972484, 28.7521857, 3, 1, [0, 1, 0]],
['Evroopt', 55.4961778, 28.757804856071, 5, 2, [1, 1, 0]],
['Evroopt', 55.5014829, 28.8228063922001, 6, 2, [1, 0, 1]],
['Evroopt', 55.4715573, 28.7499301, 7, 0, [0, 0, 0]],
['Evroopt', 55.116414, 26.8793725172742, 1, 3, [1, 1, 1]],
['Evroopt', 56.0653504, 37.8781944, 1, 1, [0, 1, 0]],
['Evroopt', 52.5678162, 24.4599522, 1, 0, [0, 0, 0]],
['Evroopt', 52.5652333, 24.4631123, 2, 0, [0, 0, 0]],
['Evroopt', 52.3592048, 30.410357457468, 2, 0, [0, 0, 0]],
['Evroopt', 52.3584067, 30.41738665, 3, 3, [1, 1, 1]],
['Evroopt', 53.2823176, 24.40744185, 1, 2, [1, 1, 0]],
['Evroopt', 55.3035847, 30.3066361200944, 1, 2, [0, 1, 1]],
['Evroopt', 52.63665975, 29.6958343727489, 3, 1, [0, 1, 0]],
['Evroopt', 53.0358414, 24.1069371, 1, 2, [1, 0, 1]],
['Evroopt', 53.6447027, 27.9155195, 1, 2, [1, 0, 1]],
['Evroopt', 53.4520166, 31.0092673, 1, 3, [1, 1, 1]],
['Evroopt', 53.0809397, 25.3242651, 1, 1, [0, 0, 1]],
['Evroopt', 53.08723625, 25.3027298339172, 2, 1, [0, 1, 0]],
['Evroopt', 53.0851088, 25.3115388, 3, 1, [0, 0, 1]],
['Evroopt', 53.09758645, 25.3081555806831, 4, 1, [0, 1, 0]],
['Evroopt', 53.02042565, 27.5575641852905, 1, 3, [1, 1, 1]],
['Evroopt', 53.02749915, 27.5439750538335, 2, 1, [0, 0, 1]],
['Evroopt', 53.0314287, 27.5621021, 3, 2, [0, 1, 1]],
['Evroopt', 53.0517826, 27.554533, 5, 1, [0, 1, 0]],
['Evroopt', 54.0286078, 28.0864508, 2, 1, [1, 0, 0]],
['Evroopt', 54.0204858, 28.0822282, 3, 1, [0, 1, 0]],
['Evroopt', 54.0292888, 28.0917746, 4, 2, [1, 0, 1]],
['Evroopt', 52.78358045, 27.5379819635332, 1, 1, [1, 0, 0]],
['Evroopt', 52.77604685, 27.5396550593628, 2, 0, [0, 0, 0]],
['Evroopt', 52.7845651, 27.5455267, 3, 2, [1, 1, 0]],
['Evroopt', 52.7834732, 27.5519792, 4, 3, [1, 1, 1]],
['Evroopt', 52.7942505, 27.5446576, 5, 2, [1, 1, 0]],
['Evroopt', 52.7260036, 27.4468073, 1, 3, [1, 1, 1]],
['Evroopt', 53.4868251, 26.7467042, 1, 0, [0, 0, 0]],
['Evroopt', 53.490888, 26.7376419836066, 2, 1, [1, 0, 0]],
['Evroopt', 54.404391, 29.7228266, 2, 2, [0, 1, 1]],
['Evroopt', 53.4695723, 27.2150947, 1, 1, [0, 0, 1]],
['Evroopt', 53.418947, 26.9815453, 2, 2, [1, 0, 1]],
['Evroopt', 51.9052461, 29.9887146, 1, 3, [1, 1, 1]],
['Evroopt', 53.7148836, 28.4157202, 1, 2, [0, 1, 1]],
['Evroopt', 54.2683035, 27.10382925, 1, 0, [0, 0, 0]],
['Evroopt', 55.3593754, 27.4716914, 1, 1, [1, 0, 0]],
['Evroopt', 55.3022829, 29.6170886, 1, 1, [0, 1, 0]],
['Evroopt', 53.5289057, 30.2160257, 1, 1, [1, 0, 0]],
['Evroopt', 53.572486, 31.3663208526914, 1, 1, [0, 1, 0]],
['Evroopt', 53.4550854, 26.4595224, 1, 2, [1, 0, 1]],
['Evroopt', 53.5999874, 24.7437198, 1, 1, [1, 0, 0]],
['Evroopt', 47.17850045, 37.3130016386877, 1, 1, [1, 0, 0]],
